timestamp,method,W,alpha,elapsed_sec,num_users,num_time_slots
2025-09-14T02:30:00,dp,2,0.25,440.220604,100,40
2025-09-14T02:40:17,hungarian,2,0.0,406.683672,100,40
2025-09-14T02:44:31,greedy,2,0.0,603.272807,100,40
2025-09-14T02:49:01,dp,2,0.0,509.908251,100,40
2025-09-14T03:43:13,dp,2,0.5,650.265909,100,40
2025-09-14T03:45:10,greedy,2,0.5,747.776453,100,40
2025-09-14T04:27:12,ga,2,0.25,7462.500389,100,40
2025-09-14T04:44:08,hungarian,2,0.5,523.865328,100,40
2025-09-14T04:54:24,ga,2,0.0,8418.460366,100,40
2025-09-14T05:08:58,mslb,2,0.25,9958.162057,100,40
2025-09-14T05:19:38,mslb,2,0.0,9956.576652,100,40
2025-09-14T05:52:15,ga,2,0.5,7640.921775,100,40
2025-09-14T06:30:33,mslb,2,0.5,9610.083196,100,40
2025-09-14T14:45:58,ga,2,1.0,32446.97728,250,40
2025-09-14T14:49:49,mslb,2,1.0,36223.854419,300,40
2025-09-14T15:00:02,ga,2,1.0,33311.712878,300,40
2025-09-14T15:15:35,mslb,2,1.0,34185.464557,250,40
2025-09-14T16:26:55,ga,2,1.0,9958.947835,200,40
2025-09-14T16:54:19,ga,2,1.0,6193.237199,100,40
2025-09-14T16:59:42,ga,2,1.0,7640.40834,150,40
2025-09-14T17:08:07,mslb,2,1.0,12449.734368,200,40
2025-09-14T17:08:40,dp,2,0.75,426.955858,100,40
2025-09-14T17:15:06,greedy,2,0.75,395.977578,100,40
2025-09-14T17:26:23,mslb,2,1.0,9251.405512,150,40
2025-09-14T17:28:09,hungarian,2,0.75,358.175547,100,40
2025-09-14T17:29:53,mslb,2,1.0,7975.890567,100,40
2025-09-14T17:30:57,dp,2,1.0,461.400426,100,40
2025-09-14T17:50:52,hungarian,2,1.0,485.638104,100,40
2025-09-14T17:53:53,hungarian,2,1.0,650.14061,150,40
2025-09-14T17:53:54,greedy,2,1.0,673.78953,100,40
2025-09-14T17:56:34,greedy,2,1.0,799.311961,150,40
2025-09-14T18:11:11,dp,2,1.0,846.105584,150,40
2025-09-14T18:11:36,hungarian,2,1.0,840.421171,200,40
2025-09-14T18:14:53,dp,2,1.0,1051.972758,200,40
2025-09-14T18:15:08,greedy,2,1.0,1058.446357,200,40
2025-09-14T18:31:59,hungarian,2,1.0,668.577389,250,40
2025-09-14T18:35:30,greedy,2,1.0,868.366503,250,40
2025-09-14T18:36:30,dp,2,1.0,920.37708,250,40
2025-09-14T18:37:33,dp,2,1.0,970.093414,300,40
2025-09-14T18:37:36,ga,2,0.75,5784.278844,100,40
2025-09-14T18:39:46,mslb,2,0.75,7689.026353,100,40
2025-09-14T18:51:54,hungarian,2,1.0,705.778496,300,40
2025-09-14T18:53:27,greedy,2,1.0,809.493621,300,40
2025-09-15T23:19:02,ga,3,1.0,4322.546454,100,40
2025-09-15T23:22:42,ga,2,1.0,4527.383748,100,40
